tool_id,name,category,url,pricing,auth_type,rate_limit,api_notes,strengths,caveats,tags
google_sheets,Google Sheets,docs,https://sheets.google.com,free_tier,oauth,unknown,"Apps Script/Drive API",협업/데이터입력,대용량 계산 한계,"sheet,docs"
slack,Slack,comm,https://slack.com,free_tier,oauth,api_limits,"Web API/blocks",알림/팀공유,무료 히스토리 제한,"chat,notify"
zapier,Zapier,automation,https://zapier.com,paid,api_key,plan_based,"8k+ apps",노코드 연동,유료,"automation,workflow"
notion,Notion,docs,https://notion.so,free_tier,oauth,api_limits,"Notion API",문서+DB 통합,쿼리 제약,"kb,docs"
gmail,Gmail,email,https://mail.google.com,free_tier,oauth,api_limits,"Gmail API",대중성,스팸 정책,"email"
gdrive,Google Drive,storage,https://drive.google.com,free_tier,oauth,api_limits,"Drive API",파일공유,권한관리,"storage"
powerpoint,Microsoft PowerPoint(pptx),slides,https://www.microsoft.com,paid,oauth,n/a,"Copilot 옵션",발표 친화,유료,"slides"
gamma,Gamma,slides,https://gamma.app,paid,oauth,n/a,"Export/PPT",AI 슬라이드,서식 제한,"slides,ai"
beautiful_ai,Beautiful.ai,slides,https://www.beautiful.ai,paid,oauth,n/a,"Export",디자인 자동화,유료,"slides,ai"
trello,Trello,pm,https://trello.com,free_tier,api_key,api_limits,"REST API",칸반 간단,스케일 한계,"pm"
